transmitting,holding,state,prob,rate
1,0,t,2.375977974963494e-05,333.33
1,1,t,2.2628348735692536e-05,333.33
1,2,t,2.1550796004862392e-05,333.33
1,3,t,2.052455589522355e-05,333.33
1,4,t,1.9547184920761437e-05,333.33
1,5,t,1.8616355953163452e-05,333.33
1,6,t,1.7729852681108984e-05,333.33
1,7,t,1.6885564333025038e-05,333.33
1,8,t,1.6081480651418495e-05,333.33
1,9,t,1.5315687106580764e-05,333.33
1,10,t,1.4586360337805546e-05,333.33
1,11,t,1.3891763812037004e-05,333.33
1,12,t,1.3230243689353236e-05,333.33
1,13,t,1.2600224884903613e-05,333.33
1,14,t,1.2000207318750804e-05,333.33
1,15,t,1.1428762344235703e-05,333.33
1,16,t,1.0884529346132279e-05,333.33
1,17,t,1.036621250127919e-05,333.33
1,18,t,9.87257769302573e-06,333.33
1,19,t,9.402449572822144e-06,333.33
1,20,t,8.954708761848671e-06,333.33
1,21,t,8.528289185534599e-06,333.33
1,22,t,8.122175535413058e-06,333.33
1,23,t,7.735400851553478e-06,333.33
1,24,t,7.36704422027718e-06,333.33
1,25,t,7.016228581389413e-06,333.33
1,26,t,6.6821186401166074e-06,333.33
1,27,t,6.363918877763751e-06,333.33
1,28,t,6.06087165831803e-06,333.33
1,29,t,5.772255423749125e-06,333.33
1,30,t,5.497382976441609e-06,333.33
1,31,t,5.235599842945807e-06,333.33
1,32,t,4.986282715344854e-06,333.33
1,33,t,4.7488379675952655e-06,333.33
1,34,t,4.5227002418472e-06,333.33
1,35,t,4.307331102325574e-06,333.33
1,36,t,4.102217753309675e-06,333.33
1,37,t,3.906871818253324e-06,333.33
1,38,t,3.7208281768941442e-06,333.33
1,39,t,3.5436438577911377e-06,333.33
1,40,t,3.374896983634532e-06,333.33
1,41,t,3.2141857667652103e-06,333.33
1,42,t,3.0611275524018682e-06,333.33
1,43,t,2.915357907801719e-06,333.33
1,44,t,2.7765297541791417e-06,333.33
1,45,t,2.644312540511094e-06,333.33
1,46,t,2.5183914566048673e-06,333.33
1,47,t,2.3984666833373304e-06,333.33
1,48,t,2.284252678865564e-06,333.33
1,49,t,2.1754774986337815e-06,333.33
1,50,t,4.350902785887022e-05,333.33
2,0,c,1.4111605590177681e-05,333.33
2,1,c,1.3439616691719829e-05,333.33
2,2,c,1.2799627630279302e-05,333.33
2,3,c,1.2190114586769777e-05,333.33
2,4,c,1.1609626305632287e-05,333.33
2,5,c,1.1056780639525765e-05,333.33
2,6,c,1.0530261258552407e-05,333.33
2,7,c,1.0028814515446628e-05,333.33
2,8,c,9.55124646137206e-06,333.33
2,9,c,9.096420003479699e-06,333.33
2,10,c,8.663252195667932e-06,333.33
2,11,c,8.250711661970403e-06,333.33
2,12,c,7.857816140403024e-06,333.33
2,13,c,7.4836301430091196e-06,333.33
2,14,c,7.127262730011882e-06,333.33
2,15,c,6.787865387816408e-06,333.33
2,16,c,6.464630008425396e-06,333.33
2,17,c,6.156786966096358e-06,333.33
2,18,c,5.863603283698662e-06,333.33
2,19,c,5.584380888576444e-06,333.33
2,20,c,5.3184549500037475e-06,333.33
2,21,c,5.065192295963182e-06,333.33
2,22,c,4.823989906314894e-06,333.33
2,23,c,4.594273475932985e-06,333.33
2,24,c,4.375496048230334e-06,333.33
2,25,c,4.167136712272547e-06,333.33
2,26,c,3.9686993628779274e-06,333.33
2,27,c,3.779711518908715e-06,333.33
2,28,c,3.5997231991269207e-06,333.33
2,29,c,3.4283058496899822e-06,333.33
2,30,c,3.265051324478478e-06,333.33
2,31,c,3.1095709129990633e-06,333.33
2,32,c,2.961494415320998e-06,333.33
2,33,c,2.8204692598949944e-06,333.33
2,34,c,2.6861596648512656e-06,333.33
2,35,c,2.558245838168363e-06,333.33
2,36,c,2.4364232154583737e-06,333.33
2,37,c,2.3204017364381987e-06,333.33
2,38,c,2.209905152836931e-06,333.33
2,39,c,2.104670371364385e-06,333.33
2,40,c,2.0044468273072167e-06,333.33
2,41,c,1.9089958875029147e-06,333.33
2,42,c,1.8180902824947853e-06,333.33
2,43,c,1.7315135653979435e-06,333.33
2,44,c,1.6490595960862997e-06,333.33
2,45,c,1.5705320512208278e-06,333.33
2,46,c,1.4957439558145556e-06,333.33
2,47,c,1.4245172391668823e-06,333.33
2,48,c,1.3566823097811115e-06,333.33
2,49,c,1.2920776519082243e-06,333.33
2,50,c,2.584124294127524e-05,333.33
3,0,c,1.5855308227953445e-05,333.33
3,1,c,1.5100284921585927e-05,333.33
3,2,c,1.4381215516896437e-05,333.33
3,3,c,1.369638790358671e-05,333.33
3,4,c,1.304417150215787e-05,333.33
3,5,c,1.2423013379363895e-05,333.33
3,6,c,1.1831434552504607e-05,333.33
3,7,c,1.1268026468498975e-05,333.33
3,8,c,1.073144764707651e-05,333.33
3,9,c,1.0220420490367339e-05,333.33
3,10,c,9.733728238088383e-06,333.33
3,11,c,9.270212072305468e-06,333.33
3,12,c,8.828768357087896e-06,333.33
3,13,c,8.408346011317102e-06,333.33
3,14,c,8.00794400633697e-06,333.33
3,15,c,7.626608981423252e-06,333.33
3,16,c,7.263432974689307e-06,333.33
3,17,c,6.917551261065951e-06,333.33
3,18,c,6.588140293384913e-06,333.33
3,19,c,6.274415741579596e-06,333.33
3,20,c,5.975630624972705e-06,333.33
3,21,c,5.691073533577823e-06,333.33
3,22,c,5.420066934747366e-06,333.33
3,23,c,5.1619655597821206e-06,333.33
3,24,c,4.916154866819006e-06,333.33
3,25,c,4.682049578513178e-06,333.33
3,26,c,4.4590922885405444e-06,333.33
3,27,c,4.2467521337908675e-06,333.33
3,28,c,4.044523530664381e-06,333.33
3,29,c,3.85192497098032e-06,333.33
3,30,c,3.6684978760769e-06,333.33
3,31,c,3.493805504709276e-06,333.33
3,32,c,3.3274319125167585e-06,333.33
3,33,c,3.1689809630135967e-06,333.33
3,34,c,3.0180753828916286e-06,333.33
3,35,c,2.874355864899858e-06,333.33
3,36,c,2.737480211805458e-06,333.33
3,37,c,2.607122521523237e-06,333.33
3,38,c,2.4829724111180037e-06,333.33
3,39,c,2.3647342784249196e-06,333.33
3,40,c,2.2521265972253927e-06,333.33
3,41,c,2.1448812479026456e-06,333.33
3,42,c,2.042742878341069e-06,333.33
3,43,c,1.9454682961672048e-06,333.33
3,44,c,1.8528258900299057e-06,333.33
3,45,c,1.7645950774585212e-06,333.33
3,46,c,1.6805657801372242e-06,333.33
3,47,c,1.6005379235983915e-06,333.33
3,48,c,1.5243209609848661e-06,333.33
3,49,c,1.45173341892872e-06,333.33
3,50,c,2.903431996192106e-05,333.33
4,0,c,1.7820987553276536e-05,333.33
4,1,c,1.6972359399813336e-05,333.33
4,2,c,1.6164142572500897e-05,333.33
4,3,c,1.5394412700930564e-05,333.33
4,4,c,1.4661337051435436e-05,333.33
4,5,c,1.3963170164985516e-05,333.33
4,6,c,1.3298249700914346e-05,333.33
4,7,c,1.2664992477862295e-05,333.33
4,8,c,1.20618907055536e-05,333.33
4,9,c,1.1487508393345873e-05,333.33
4,10,c,1.0940477932356316e-05,333.33
4,11,c,1.0419496838533932e-05,333.33
4,12,c,9.923324651814726e-06,333.33
4,13,c,9.450779982195098e-06,333.33
4,14,c,9.000737696941214e-06,333.33
4,15,c,8.572126241647036e-06,333.33
4,16,c,8.163925088880653e-06,333.33
4,17,c,7.77516230826733e-06,333.33
4,18,c,7.4049122526133704e-06,333.33
4,19,c,7.052293353547492e-06,333.33
4,20,c,6.716466022429407e-06,333.33
4,21,c,6.396630651815636e-06,333.33
4,22,c,6.092025711186981e-06,333.33
4,23,c,5.801925933367912e-06,333.33
4,24,c,5.525640588417071e-06,333.33
4,25,c,5.262511838974056e-06,333.33
4,26,c,5.011913173225459e-06,333.33
4,27,c,4.773247913598992e-06,333.33
4,28,c,4.545947796096921e-06,333.33
4,29,c,4.329471617430989e-06,333.33
4,30,c,4.12330394611774e-06,333.33
4,31,c,3.926953895139177e-06,333.33
4,32,c,3.739953953609098e-06,333.33
4,33,c,3.561858872855641e-06,333.33
4,34,c,3.392244607102814e-06,333.33
4,35,c,3.2307073034400617e-06,333.33
4,36,c,3.076862340228868e-06,333.33
4,37,c,2.9303434115017096e-06,333.33
4,38,c,2.7908016543786257e-06,333.33
4,39,c,2.657904818723205e-06,333.33
4,40,c,2.5313364760594096e-06,333.33
4,41,c,2.4107952660233487e-06,333.33
4,42,c,2.295994179482931e-06,333.33
4,43,c,2.1866598736882365e-06,333.33
4,44,c,2.0825320231184226e-06,333.33
4,45,c,1.983362698140929e-06,333.33
4,46,c,1.888915776048074e-06,333.33
4,47,c,1.7989663775048195e-06,333.33
4,48,c,1.7133003328177884e-06,333.33
4,49,c,1.6317136701872883e-06,333.33
4,50,c,3.263388179384889e-05,333.33
5,0,c,2.003218368026446e-05,333.33
5,1,c,1.9078259269890092e-05,333.33
5,2,c,1.816976035045141e-05,333.33
5,3,c,1.730452377885276e-05,333.33
5,4,c,1.648048941949703e-05,333.33
5,5,c,1.5695695240152864e-05,333.33
5,6,c,1.4948272639348513e-05,333.33
5,7,c,1.4236441997149732e-05,333.33
