gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,0,0,3,10,2290623.0,2006.6666666666667,6081859,3549892,0.0008760353260517627
0.003,0,1,3,10,2971258.0,0.0,6218865,3006761,0
0.003,0,2,3,10,2995130.0,3022.5,6122328,2886084,0.0010091381676254453
0.003,0,3,3,10,704529.0,0.0,5766570,4814674,0
0.003,0,4,3,10,0.0,0.0,5912382,5665247,0
0.003,0,5,3,10,2761091.0,0.0,5761887,2760084,0
0.003,0,6,3,10,2988444.0,0.0,5941152,2705760,0
0.003,0,7,3,10,222982.0,0.0,5587935,5117908,0
0.003,0,8,3,10,0.0,0.0,6045296,5804038,0
0.003,0,9,3,10,2989825.0,0.0,6328981,3103998,0
0.003,1,0,3,10,2983883.0,2010.6666666666667,5935567,2704696,0.000673842327821388
0.003,1,1,3,10,2975890.0,0.0,6036696,2813699,0
0.003,1,2,3,10,2984309.0,0.0,5894581,2663057,0
0.003,1,3,3,10,0.0,0.0,5901043,5654066,0
0.003,1,4,3,10,0.0,0.0,5827813,5580805,0
0.003,1,5,3,10,2989749.0,0.0,5804762,2579700,0
0.003,1,6,3,10,2988653.0,0.0,6188351,2958999,0
0.003,1,7,3,10,12037.0,4008.6666666666665,5905781,5652820,0.33302871701143694
0.003,1,8,3,10,0.0,0.0,6081347,5840372,0
0.003,1,9,3,10,2989132.0,0.0,5730394,2506337,0
0.003,2,0,3,10,2964565.0,0.0,6172103,2966355,0
0.003,2,1,3,10,2983072.0,0.0,6070168,2839896,0
0.003,2,2,3,10,2983028.0,0.0,5989531,2759394,0
0.003,2,3,3,10,18121.0,0.0,5803345,5543760,0
0.003,2,4,3,10,18023.0,4509.75,6195169,5929984,0.2502219386339677
0.003,2,5,3,10,2977800.0,0.0,6081468,2874835,0
0.003,2,6,3,10,2988383.0,0.0,6380955,3145219,0
0.003,2,7,3,10,12042.0,0.0,5966684,5707443,0
0.003,2,8,3,10,0.0,0.0,5880741,5633461,0
0.003,2,9,3,10,2983843.0,0.0,6063559,2832587,0
0.003,3,0,3,10,18032.0,4003.0,5723833,5458785,0.22199423247559893
0.003,3,1,3,10,2977046.0,0.0,6013510,2795634,0
0.003,3,2,3,10,2971676.0,0.0,5743474,2536656,0
0.003,3,3,3,10,2983362.0,0.0,5905932,2675531,0
0.003,3,4,3,10,0.0,0.0,6198729,5951917,0
0.003,3,5,3,10,639605.0,2003.6666666666667,6200166,5319628,0.003132662606869344
0.003,3,6,3,10,2989712.0,0.0,6286816,3050126,0
0.003,3,7,3,10,2344533.0,2015.6666666666665,5917519,3332059,0.0008597305589926295
0.003,3,8,3,10,0.0,0.0,6116850,5869964,0
0.003,3,9,3,10,2989646.0,0.0,5700811,2464199,0
0.003,4,0,3,10,2940363.0,0.0,6116044,2934823,0
0.003,4,1,3,10,2984430.0,3006.0,6052975,2833253,0.0010072275107809532
0.003,4,2,3,10,2987232.0,0.0,5904258,2676101,0
0.003,4,3,3,10,36265.0,0.0,5870352,5587126,0
0.003,4,4,3,10,0.0,0.0,5761746,5514624,0
0.003,4,5,3,10,2990059.0,0.0,5845817,2608944,0
0.003,4,6,3,10,2988319.0,0.0,5946686,2711436,0
0.003,4,7,3,10,0.0,0.0,6032830,5785545,0
0.003,4,8,3,10,0.0,0.0,5983834,5736692,0
0.003,4,9,3,10,2989069.0,0.0,5905921,2675771,0
0.003,5,0,3,10,2958863.0,0.0,5961444,2755354,0
0.003,5,1,3,10,2983188.0,0.0,6316014,3091675,0
0.003,5,2,3,10,2994730.0,0.0,5736458,2500956,0
0.003,5,3,3,10,18054.0,0.0,5998411,5733370,0
0.003,5,4,3,10,0.0,0.0,6303251,6061976,0
0.003,5,5,3,10,2995325.0,2012.3333333333335,5780314,2543683,0.000671824704609127
0.003,5,6,3,10,2988756.0,0.0,5651465,2421908,0
0.003,5,7,3,10,0.0,0.0,6112651,5871767,0
0.003,5,8,3,10,0.0,0.0,6096894,5849988,0
0.003,5,9,3,10,2993616.0,0.0,6325395,3090404,0
0.003,6,0,3,10,2019537.0,1998.333333333333,5983711,3723126,0.000989500728797409
0.003,6,1,3,10,2982427.0,0.0,5657846,2440582,0
0.003,6,2,3,10,2987537.0,0.0,6024754,2808568,0
0.003,6,3,3,10,964558.0,0.0,6093015,4881080,0
0.003,6,4,3,10,0.0,0.0,6165469,5918374,0
0.003,6,5,3,10,2404977.0,0.0,5958870,3307220,0
